Air temperature (¡C),Relative humidity (%),Air velocity (m/s),Outdoor monthly air temperature (¡C),Thermal sensation
23.8,39.1,0.15,4,0
22.8,39.5,0.07,4,0
23.8,39.1,0.11,4,0
22.8,40.7,0.06,4,0
22.8,40.7,0.05,4,0
23.7,45.7,0.06,4,0
22.5,49.4,0.2,4,0
23.2,47,0.1,4,0
23.2,47,0.1,4,0
23.4,41,0.1,4,0
22.8,41.4,0.12,4,0
24.2,37.9,0.06,4,0
23.7,50.2,0.06,4,0
22,50.2,0.18,4,0
23.7,50.2,0.12,4,0
25.9,43.6,0.25,4,0
25.9,43.6,0.29,4,0
25.6,43.8,0.08,4,0
24.4,48.5,0.25,4,0
24.4,48.5,0.14,4,0
24.2,47.6,0.18,4,0
25.1,45.6,0.15,4,0
23.7,49.5,0.1,4,0
26.3,43,0.15,4,0
23.6,48.1,0.11,4,0
25.9,43.6,0.05,4,0
24.5,48.6,0.16,4,0
25.4,43.6,0.06,4,0
24,49.3,0.13,4,0
24.1,48.7,0.18,4,0
23.2,50.9,0.1,4,0
23.3,49.7,0.13,4,0
21,47.5,0.12,4,0
25.4,47.2,0.11,4,0
25.9,44.8,0.06,4,0
25.9,44.8,0.06,4,0
25.9,44.8,0.06,4,0
25.1,48.6,0.06,4,0
23.3,51,0.03,4,0
23.2,49,0.2,4,0
24.6,47.4,0.36,4,0
25.1,45,0.53,4,0
22.1,48.3,0.08,4,0
21.4,38.7,0.26,4,0
22.8,34.6,0.1,4,0
21.6,37,0.08,4,0
22.5,34.7,0.1,4,0
21.8,37.4,0.08,4,0
21.8,39.3,0.08,4,0
22.8,36.4,0.15,4,0
21.5,38.2,0.11,4,0
22.2,29.9,0.17,4,0
20.5,33.9,0.11,4,0
23.2,29.3,0.14,4,0
22.3,33.8,0.08,4,0
23.3,30,0.17,4,0
23.1,32,0.14,4,0
22.1,34.7,0.09,4,0
22.6,32.4,0.05,4,0
22.5,35.3,0.06,4,0
22.5,34.7,0.06,4,0
23.7,32.4,0.2,4,0
22.2,34.8,0.09,4,0
22.2,34.8,0.09,4,0
23.6,32.3,0.11,4,0
23.6,32.8,0.08,4,0
20.8,44.5,0.04,4,0
20.4,43.2,0.13,4,0
20.5,50.4,0.09,4,0
20.1,53.5,0.1,4,0
19.2,55.4,0.34,4,0
20.6,54.8,0.05,4,0
20.4,46,0.1,4,0
21,44.8,0.05,4,0
20.9,44.6,0.1,4,0
20.8,45.9,0.15,4,0
21,38.7,0.09,4,0
20.6,48.4,0.07,4,0
20.9,43.9,0.04,4,0
22.5,34.7,0.09,4,0
22.3,38.1,0.08,4,0
20,40.5,0.08,4,0
20.4,39.1,0.21,4,0
20.4,39.1,0.08,4,0
21.5,38.2,0.08,4,0
21.5,38.2,0.07,4,0
21.4,40,0.18,4,0
21.1,38.2,0.17,4,0
20,37.1,0.14,4,0
21,36.7,0.06,4,0
22.2,40.5,0.1,4,0
20.6,40.8,0.14,4,0
19.5,42.6,0.45,4,0
22.1,41.7,0.07,4,0
22.1,41.7,0.25,4,0
22,36.4,0.11,4,0
22,37,0.08,4,0
22.2,37.3,0.11,4,0
22.2,37.3,0.11,4,0
22.6,43.7,0.05,4,0
22.5,41.6,0.09,4,0
22.5,41.6,0.19,4,0
22.3,45.2,0.09,4,0
22.3,45.2,0.06,4,0
22.6,41.1,0.08,4,0
21.8,45.9,0.18,4,0
22.9,43.4,0.15,4,0
23,42.9,0.14,4,0
22.5,45.5,0.13,4,0
21.7,45.7,0.06,4,0
23.3,44.6,0.05,4,0
23.8,44.6,0.06,4,0
23.8,44.6,0.4,4,0
24.6,46.2,0.12,4,0
24.6,46.2,0.12,4,0
22.8,51.8,0.18,4,0
22.7,51.7,0.07,4,0
22.7,51.7,0.1,4,0
22.5,48.8,0.09,4,0
22.5,48.8,0.14,4,0
23.2,47,0.17,4,0
23.7,42.6,0.06,4,0
23.7,42.6,0.14,4,0
23.7,42.6,0.11,4,0
24,43,0.07,4,0
24,38.8,0.14,4,0
22,42.2,0.05,4,0
22.5,40.3,0.04,4,0
22.2,43.1,0.08,4,0
23,42.9,0.12,4,0
25.4,46.6,0.06,4,0
25.4,46.6,0.06,4,0
26.5,46.1,0.3,4,0
23.9,52.4,0.08,4,0
24.9,43,0.03,4,0
23.1,44.3,0.23,4,0
21.1,47.7,0.16,4,0
21.1,47,0.2,4,0
23.9,46,0.19,4,0
26,32.6,0.35,4,0
30,73,0.36,4,0
30.1,72.3,0.5,4,0
30.5,71.4,0.88,4,0
30.8,72,0.83,4,0
31.1,68.9,0.83,4,0
31.3,66.8,0.58,4,0
31,67,0.62,4,0
31.3,67.8,1.66,4,0
31,67.7,0.22,4,0
29.9,75.2,0.42,4,0
30.8,72,0.42,4,0
31,70.8,0.32,4,0
31.1,67.7,0.42,4,0
31.4,66.4,1.02,4,0
31,66.5,0.36,4,0
31,68.5,0.38,4,0
30,70.1,0.2,4,0
30,74.5,0.58,4,0
30.2,73.3,0.58,4,0
30.9,68.5,0.58,4,0
30.6,70.3,0.88,4,0
30,71.2,0.14,4,0
30.1,72.7,0.5,4,0
32,58.3,0.53,4,0
32.6,53.5,0.36,4,0
31.1,53.2,0,4,0
31,62.2,0.5,4,0
31.5,61.4,1.88,4,0
31.7,62.3,1.02,4,0
30.9,65.7,0.46,4,0
30.8,64.2,0.83,4,0
30.6,65.2,0.53,4,0
29.1,69.3,0.14,4,0
31.5,70.3,0.09,4,0
31.9,68.9,0.14,4,0
31.6,68,0.23,4,0
30.4,74.2,1.08,4,0
31.1,70.4,0.02,4,0
31.2,69.9,0.03,4,0
31.3,69.9,0.03,4,0
31.4,69.5,0.02,4,0
30,68.5,0.62,4,0
31.2,59.7,1.56,4,0
31.8,59.1,0.94,4,0
32.6,55.6,1.08,4,0
32.4,62.7,0.94,4,0
31.8,64.4,0.1,4,0
31.8,64.8,0.79,4,0
31.6,65.3,0.79,4,0
31,66.1,0.04,4,0
31,66.1,0.01,4,0
31,70.1,0.06,4,0
30.7,71.6,0.81,4,0
31.3,69.8,0.07,4,0
29.1,73.4,0.01,4,0
33.1,60.5,0.52,4,0
33.1,57.4,0.4,4,0
32.9,59.2,0.32,4,0
33,59.2,0.48,4,0
32.8,61,0.02,4,0
30.4,67.6,0.32,4,0
30.9,68.5,0.36,4,0
31,68.5,0.01,4,0
32.8,57.7,0.04,4,0
32.4,57.9,0.23,4,0
32.1,61.4,0.18,4,0
31.7,64,0.26,4,0
32.6,61.4,0.03,4,0
31.8,65.2,0.52,4,0
31,67.7,0.36,4,0
30.3,70.8,0.48,4,0
30.3,68.9,0.36,4,0
30.4,67.7,0.36,4,0
30.8,66.6,0.4,4,0
32.6,58.2,0.32,4,0
32.5,59.2,0.52,4,0
31.8,63,0.26,4,0
31.9,61.8,0.29,4,0
31.4,64.3,0.32,4,0
31,66.5,0.2,4,0
32.9,56,0.04,4,0
32.7,54.6,0.26,4,0
32.5,54.2,0.2,4,0
32.1,58.9,0.16,4,0
32.4,58.3,0.02,4,0
31.6,63.5,0.4,4,0
31.3,63.6,0.32,4,0
33,51.8,0.48,4,0
33.2,50.8,0.4,4,0
33,46.8,0.62,4,0
33,49.3,1.25,4,0
32.3,56,0.23,4,0
32.2,55.6,0.2,4,0
32.2,56.9,0.4,4,0
30.9,63,0.29,4,0
33.1,51.3,0.02,4,0
33.3,49.3,0.02,4,0
31.8,56.5,0.29,4,0
32,54.5,0.32,4,0
32.6,53.7,0.07,4,0
31,61.4,0.23,4,0
30.9,60.5,0.32,4,0
27.9,17.1,0.46,4,0
24.3,16.7,0.03,4,0
24.4,16.8,0.04,4,0
25.4,16.8,0.09,4,0
27.1,16.8,0.09,4,0
25.9,16.9,0.14,4,0
25.1,17.6,0,4,0
25,24.9,0.05,4,0
24.8,32.5,0.05,4,0
25.1,35.1,0,4,0
24.9,25.3,0.02,4,0
24.2,16.6,0.02,4,0
22.8,16.2,0.02,4,0
23.5,16.7,0.05,4,0
23.7,16.8,0.02,4,0
24.6,16.7,0.01,4,0
25.8,16.7,0.07,4,0
25.5,16.8,0.07,4,0
24.7,16.8,0.02,4,0
25.2,17,0,4,0
24.9,16.9,0.04,4,0
25.1,20.6,0.01,4,0
24.6,21,0.02,4,0
24.4,26.2,0.02,4,0
22.2,23.7,0.35,4,0
21.9,24.8,0.03,4,0
22,16.7,0.07,4,0
22.8,16.7,0.01,4,0
23.2,16.8,0,4,0
25,16.8,0.09,4,0
24.7,54.2,0,4,0
24.5,56.9,0,4,0
24.4,61.1,0.01,4,0
24.6,59.8,0,4,0
24.7,58.8,0.01,4,0
24.4,62,0.02,4,0
24.4,60.8,0.02,4,0
21.3,66.9,0.01,4,0
22.7,64.4,0.01,4,0
22.9,67.4,0.14,4,0
23.6,65,0.01,4,0
24.3,65.1,0.02,4,0
24.6,65.1,0.03,4,0
25,63.6,0.06,4,0
25.2,59,0.04,4,0
25.8,56.5,0.18,4,0
25.3,64.4,0.05,4,0
25.5,66.6,0.09,4,0
24.9,68,0.02,4,0
25.2,67.3,0.01,4,0
25.4,65.1,0.02,4,0
25.4,67.1,0.06,4,0
24.6,67.8,0.02,4,0
24,66.3,0.02,4,0
23.9,64,0.07,4,0
23.9,44.8,0.01,4,0
24.1,27.7,0.06,4,0
24.5,27,0.01,4,0
24.8,41,0.02,4,0
25,45.8,0.02,4,0
25.2,47.7,0.06,4,0
25.3,55.4,0.02,4,0
25.9,53.8,0.83,4,0
26.2,51.8,0.31,4,0
25.3,54.2,0.01,4,0
25.4,52.2,0.02,4,0
25,40.7,0.01,4,0
22.6,17.3,0.09,4,0
22.2,17.3,0.05,4,0
21.8,17.4,0.16,4,0
22.2,17.4,0.12,4,0
23.1,17.4,0.02,4,0
23.6,17.3,0.06,4,0
24.2,17.5,0.04,4,0
24.8,18,0.09,4,0
26.2,18.2,0.16,4,0
25.5,18,0.07,4,0
25.4,18,0.01,4,0
26.1,18.1,0.09,4,0
26.6,18.6,0,4,0
25.4,25.9,0.06,4,0
25.5,34,0.06,4,0
25.6,37,0.1,4,0
25.7,39.4,0.16,4,0
25.7,42.5,0.14,4,0
25.2,44.8,0.12,4,0
23,17.9,0.65,4,0
23.3,18,1.62,4,0
25.4,35.6,0.04,4,0
27,27,0.01,4,0
29.5,29.4,0.01,4,0
24.5,42.9,0,4,0
25.4,45.6,0,4,0
25.4,56,0.03,4,0
27.6,39.2,0,4,0
27.7,41.1,0.02,4,0
22.3,36.7,0.02,4,0
23.3,34.4,0.01,4,0
24.5,30.9,0.01,4,0
25.5,25.3,0,4,0
26.4,20.4,0.01,4,0
26.5,16.8,0,4,0
26.5,12.9,0.01,4,0
26.1,21.9,0.01,4,0
25.8,27.1,0.01,4,0
25.3,33.4,0.01,4,0
24.7,37.5,0.01,4,0
23.9,40.7,0.01,4,0
23.4,41.8,0.01,4,0
23,43.7,0.01,4,0
22.9,44.9,0.01,4,0
21.1,46.7,0.01,4,0
23.2,42.1,0.01,4,0
24.7,32.3,0.03,4,0
25.1,34,0.01,4,0
25.4,33.4,0,4,0
25.9,29.3,0,4,0
26.7,38.4,0.01,4,0
27.1,45.6,0,4,0
27.3,48.8,0,4,0
26.5,57.9,0.01,4,0
26,60.1,0.03,4,0
24.7,63.2,0.03,4,0
23.9,65.2,0.03,4,0
23.4,65.2,0.03,4,0
23,67.2,0.01,4,0
22.9,67.7,0.01,4,0
22.5,67.7,0.01,4,0
22.1,68.5,0.01,4,0
22.3,68.6,0.03,4,0
24.1,67.8,0,4,0
28.6,52.3,0,4,0
28.1,57.9,0.01,4,0
26.9,64,0.01,4,0
26.2,67,0.01,4,0
25.7,69,0.01,4,0
25.2,69.7,0.01,4,0
24.9,70.7,0.01,4,0
24,73.3,0.01,4,0
23.8,73.9,0.01,4,0
23.5,72.2,0.02,4,0
23.4,72.3,0.03,4,0
24.3,56.5,0.01,4,0
25.8,49.9,0.01,4,0
27.5,49.8,0,4,0
28.4,45.3,0,4,0
28.8,39.9,0,4,0
28.6,44.4,0,4,0
27.3,52.9,0,4,0
26.8,55.8,0.01,4,0
26.2,57.9,0.01,4,0
25.7,61.5,0.01,4,0
25.1,64.1,0.01,4,0
24.8,66.1,0.01,4,0
24,62.6,0.02,4,0
23.4,60.1,0.01,4,0
22.9,56.5,0.01,4,0
22.5,54.6,0.01,4,0
21.8,53.2,0.03,4,0
22.9,48.3,0.02,4,0
25,38.8,0.01,4,0
26.7,32.3,0.01,4,0
28.1,32.8,0,4,0
29.1,32.7,0,4,0
29,30.1,0,4,0
26.9,43,0.01,4,0
26.4,46.4,0.04,4,0
25.8,52.5,0.08,4,0
25.2,56,0.12,4,0
24.5,59.4,0.17,4,0
23.9,59.9,0.22,4,0
23.6,60.5,0.27,4,0
23.4,63,0.4,4,0
22.7,61.4,0.4,4,0
22.2,61.8,0.43,4,0
23.3,49.8,1.1,4,0
24.5,33.6,2.14,4,0
23.3,43.4,0,4,0
23.7,41.3,0,4,0
28.2,28.2,0.1,4,0
26.9,32.8,0,4,0
25.6,40.6,0,4,0
24.3,52,0.01,4,0
23.8,52.7,0.01,4,0
22.4,24,0.02,4,0
22.8,27,0,4,0
23.3,26.5,0,4,0
25,24.7,0.03,4,0
26.6,15.9,0,4,0
23.1,47.4,0,4,0
22.7,52,0,4,0
20.4,43.9,0,4,0
22.7,46.8,0.01,4,0
23.2,40,0,4,0
29.5,27.7,2.22,4,0
27.4,45.3,1.21,4,0
25.7,59.2,0,4,0
21.5,76.6,0,4,0
22.3,61,0,4,0
28.2,58.7,0,4,0
27.4,60.2,0,4,0
29.8,40.4,0,4,0
29,43.4,0,4,0
28.2,46.3,0,4,0
23.4,35.5,0.19,4,0
27.1,18,0.19,4,0
28.4,18.6,0.14,4,0
29,18.7,0.14,4,0
28.6,18.6,0.27,4,0
27.8,18.8,0.3,4,0
26.9,22.9,0.24,4,0
25.2,39.1,0.27,4,0
24.5,22.7,0.15,4,0
25.2,43.8,0.09,4,0
25,43.6,0.02,4,0
25.4,40.4,0.06,4,0
24.9,38.7,0.06,4,0
24.8,16.2,0.16,4,0
24.3,14.1,0.02,4,0
24,14.2,0.02,4,0
23.9,14.2,0.02,4,0
24.6,14.2,0.1,4,0
25.4,14.2,0.04,4,0
26,14.6,0.15,4,0
25.4,14.7,0.06,4,0
24.9,17.9,0.02,4,0
25.1,29.4,0.03,4,0
25.1,32.9,0.02,4,0
25,32.1,0.04,4,0
24.2,24.1,0.02,4,0
24,22.3,0.02,4,0
23.6,23.5,0.02,4,0
25.8,31.9,0.07,4,0
25.3,37.8,0.01,4,0
25.9,53.2,0.11,4,0
25,56.3,0.01,4,0
25.2,59.8,0.02,4,0
26.2,60.2,0.1,4,0
25.2,60.6,0.02,4,0
25.1,57.6,0.04,4,0
24.1,56.9,0,4,0
25.8,57.2,0.11,4,0
24.4,57.5,0.01,4,0
23.8,64.2,0.04,4,0
25.6,68,0.23,4,0
24.9,63.6,0.01,4,0
24.9,71.5,0.03,4,0
26.3,69.8,0.11,4,0
24.9,69.2,0,4,0
25.3,71.2,0.11,4,0
26.7,68,0.13,4,0
26.2,63.3,0.39,4,0
26.2,63.5,0.11,4,0
24.9,64.8,0.02,4,0
24,33.9,0.07,4,0
26.2,39.1,0.2,4,0
25.3,48.7,0.11,4,0
26.2,53.9,0.07,4,0
25.2,57.9,0.15,4,0
24.5,60.7,0.02,4,0
26.2,60.8,0.1,4,0
24.9,33.2,0.23,4,0
24,22.9,0,4,0
24.6,18.6,0.02,4,0
25.1,31.4,0.04,4,0
25.3,33.1,0.05,4,0
25.9,44.9,0.27,4,0
24.9,51.8,0.06,4,0
24.8,54.5,0.11,4,0
24.2,30.2,0.06,4,0
24.6,34,0.16,4,0
25.2,30.6,0.02,4,0
24.8,42.7,0.01,4,0
24.4,40,0,4,0
24.4,46,0,4,0
24,27.6,0,4,0
23.4,23.5,0.02,4,0
19.9,36.7,0.12,4,0
24.1,18.5,0.01,4,0
24.5,17.7,0.01,4,0
24.9,14.2,0.01,4,0
25.4,14.1,0.01,4,0
26,14.1,0.04,4,0
25.9,14.1,0,4,0
19.9,48.3,0.06,4,0
22.4,33.4,0,4,0
24,24.9,0.06,4,0
24.6,24.9,0.01,4,0
24.9,17.8,0.01,4,0
25.1,14.4,0.01,4,0
26,35.8,0.07,4,0
26.2,43.7,0.06,4,0
25.2,56.3,0,4,0
23.7,56.9,0.06,4,0
23.5,62.9,0,4,0
23.4,62.3,0.01,4,0
20.9,71.3,0.04,4,0
23.7,60,0.03,4,0
24.9,59,0,4,0
25.2,58.2,0,4,0
25.4,59.4,0,4,0
24.1,68.6,0,4,0
22,52.3,0.03,4,0
22.3,49.8,0,4,0
24,45.8,0.02,4,0
25.8,48.5,0.02,4,0
25.8,49.9,0.03,4,0
25.2,53.8,0.01,4,0
24.8,56.3,0.03,4,0
24,63.5,0.23,4,0
20.3,25.3,0.09,4,0
20.3,17.9,0.09,4,0
22.7,16.7,0.09,4,0
23.9,16.9,0.09,4,0
25.9,17.4,0.09,4,0
26.2,17.4,0.09,4,0
26.2,17.7,0.09,4,0
24.7,37.6,0.09,4,0
25,38.6,0.09,4,0
25.8,39.5,0.09,4,0
30.7,75.6,0.83,4,0
30.7,78.7,0.88,4,0
30.3,80.3,0.14,4,0
31.5,78,0.96,4,0
32,76.6,0.88,4,0
32.8,74.9,0.3,4,0
33.1,73.9,0.29,4,0
32.1,76,0.48,4,0
31.6,77.4,0.66,4,0
31.1,79.3,0.66,4,0
31.2,73.5,0.36,4,0
31.2,71.2,0.66,4,0
27.2,79.7,0.36,4,0
31.7,61,0.29,4,0
31.4,67.7,0.19,4,0
31.2,68.1,0.36,4,0
31.1,67.7,0.3,4,0
29,78.1,0.07,4,0
29,78.3,0.07,4,0
27.7,80.6,0.18,4,0
26.9,81.9,0.09,4,0
26.7,81.5,0.15,4,0
28.1,80,0.27,4,0
28.1,79,0.07,4,0
28.6,80,0.09,4,0
28.8,80.6,0.09,4,0
28.6,74.5,0.1,4,0
28.6,76.3,0.12,4,0
28.3,78.3,0.44,4,0
26.6,78.3,0.24,4,0
24.3,86.1,0.18,4,0
25,85.1,0.15,4,0
26.7,84,0.1,4,0
28.4,76.1,0.05,4,0
27.8,75.9,0.4,4,0
24.7,77.7,0.04,4,0
25.6,71.2,0.22,4,0
25.9,68.9,0.18,4,0
27.6,75.2,0.4,4,0
28.4,73,0.24,4,0
28.9,65.7,0.12,4,0
29.5,62.3,0.3,4,0
30.8,58.2,0.96,4,0
30.7,75.2,0.52,4,0
28.7,58.8,0.77,4,0
29.2,57.9,0.83,4,0
29,53.7,0.12,4,0
29.1,59.7,0.05,4,0
29,60.3,0.02,4,0
28.9,64,0.03,4,0
28.1,70.8,0.4,4,0
27.2,75.9,0.44,4,0
29.5,68.8,0.44,4,0
28.5,72.3,0.32,4,0
28.2,75.3,0.3,4,0
31.1,59.2,1.02,4,0
31.3,60.5,1.02,4,0
30.7,67,0.14,4,0
31.4,66.1,0.56,4,0
31.7,66.9,1.35,4,0
30,79.4,0.3,4,0
30.7,79.1,0.56,4,0
32.2,71.2,0.52,4,0
30.9,75.9,0.37,4,0
31.2,74.2,1.12,4,0
31.7,73.2,0.62,4,0
32.2,70.8,0.35,4,0
33,67,0.05,4,0
32.9,71.9,0.29,4,0
32.2,73.7,0.85,4,0
32.1,73.4,0.29,4,0
32.6,73.5,0.3,4,0
33.2,73,0.9,4,0
32.2,69.3,0.12,4,0
29.1,79.7,0.14,4,0
26.2,85.7,0.79,4,0
30.9,72.7,0.2,4,0
31.1,71.9,0.3,4,0
31.5,70.1,0.14,4,0
32,70.8,0.23,4,0
32.9,68.5,0.37,4,0
32.4,68.1,0.23,4,0
32.1,70.4,0.2,4,0
32,70.4,0.28,4,0
31.8,69.7,0.26,4,0
31.7,70.2,0.2,4,0
31.2,72,0.01,4,0
30.5,73.5,0.37,4,0
30.2,74.2,0.35,4,0
30.2,75.1,0.32,4,0
29.7,74.2,0.23,4,0
28.4,79,0.08,4,0
30.2,72.3,1.23,4,0
29.8,75.5,0.2,4,0
29.6,76,0.35,4,0
29.4,77.3,0.17,4,0
30.8,74.5,0.26,4,0
30.8,73.4,0.26,4,0
30.2,72,0.17,4,0
30.1,71.8,0.2,4,0
29.2,73.8,0.18,4,0
29.6,74.5,0.21,4,0
29,69.7,0.21,4,0
26.8,77.7,0.08,4,0
26.1,78.7,0.1,4,0
26.6,79.3,0.08,4,0
28.1,76.6,0.18,4,0
28.8,70.1,0.28,4,0
29.4,70.2,0.18,4,0
30,68.9,0.4,4,0
29.5,69.8,0.17,4,0
29.9,69.7,0.11,4,0
29.9,69.7,0.08,4,0
30.3,68.5,0.1,4,0
29.2,74.2,0.08,4,0
26.2,70.4,0.05,4,0
24.7,75.6,0.01,4,0
24.6,78,0.02,4,0
26.2,72.3,0.79,4,0
28.2,68.9,0.62,4,0
27.5,66.1,0.07,4,0
28.8,63.9,0.62,4,0
29.2,64.4,0.85,4,0
29.3,62.7,0.42,4,0
28.9,65.7,0.04,4,0
31,58.8,0.01,4,0
30.2,64,0.18,4,0
28.9,73.7,0.08,4,0
28.6,74.9,0.15,4,0
29.1,73.1,0.01,4,0
29.1,72,0.01,4,0
30,70.8,0.79,4,0
29.8,71.7,0.14,4,0
29.9,71.2,0.15,4,0
29.8,70.8,0.12,4,0
29.9,67.6,0.14,4,0
29.9,68.9,0.12,4,0
29.9,67.6,0.12,4,0
33.3,59.7,0.23,4,0
34,59.1,0.17,4,0
29.9,70,0.37,4,0
30.7,68.5,1.17,4,0
34.1,57.9,0.29,4,0
31.1,67.7,0.1,4,0
31.4,66.5,0.29,4,0
32.5,61.8,0.21,4,0
33.1,59.2,0.04,4,0
31.6,65.2,0.29,4,0
32.6,62.7,0.29,4,0
33,62.7,0.29,4,0
28.8,70.7,0.56,4,0
29.1,70.8,0.07,4,0
26.6,73.4,0.17,4,0
27.4,71.6,0.29,4,0
31.6,55.6,0.71,4,0
30.6,60.1,0.49,4,0
30.1,64.1,0.62,4,0
29.8,66.1,0.59,4,0
31.1,62.7,1,4,0
31,63.1,1.23,4,0
28.8,69.8,0.23,4,0
29.1,69.9,0.18,4,0
29.5,69.3,0.11,4,0
26.9,73.1,0.59,4,0
27.7,69.2,0.11,4,0
29.1,63.6,0.37,4,0
30.2,63.6,1.06,4,0
29.8,66.8,0.26,4,0
29.4,67.6,0.15,4,0
29.3,68.9,0.21,4,0
30.3,66.5,0.23,4,0
29.7,62.4,0.15,4,0
29.2,65.2,0.15,4,0
29.2,66.1,0.21,4,0
29,62.3,0.17,4,0
25.9,70.2,0.03,4,0
26.2,70.1,0.11,4,0
26.2,71.2,0.18,4,0
26.6,70.4,0.11,4,0
27.9,66.9,0.15,4,0
28.4,64,0.23,4,0
29,61.1,0.17,4,0
29.7,60.4,0.23,4,0
30.3,59.2,0.2,4,0
30.5,58.3,0.28,4,0
30.3,59.2,0.1,4,0
29.4,62.8,0.04,4,0
29.5,63.6,0.04,4,0
29.4,63.2,0.03,4,0
26.2,62.7,0.05,4,0
28.3,60.5,0.26,4,0
29.6,51.7,0.17,4,0
30.1,48.8,0.15,4,0
30.1,56,0.21,4,0
29,64,0.14,4,0
29.6,61.8,0.42,4,0
29.7,62.7,0.46,4,0
29.8,62.3,0.46,4,0
29.3,60.1,0.2,4,0
30,57.9,0.26,4,0
30.9,56,0.26,4,0
31,54.6,0.4,4,0
32.3,69,0.14,4,0
33.3,62,0.14,4,0
29.2,68,0.57,4,0
29.5,68,0.71,4,0
31.9,67,0.15,4,0
32.7,69,0.49,4,0
28.8,73,0.45,4,0
28.8,73,0.53,4,0
29.1,68,0.07,4,0
26.6,77,0.26,4,0
31.3,67,0.32,4,0
30.8,69,0.35,4,0
29.8,68,0.53,4,0
28.9,73,0.71,4,0
29.1,68,0.03,4,0
29.1,68,0.26,4,0
26.8,77,0.38,4,0
26,77,0.38,4,0
27,74,0.12,4,0
28.8,73,0.21,4,0
29.7,68,0.12,4,0
30.3,69,0.19,4,0
30.5,69,0.26,4,0
30.6,69,0.19,4,0
29,68,0.45,4,0
28.5,73,0.38,4,0
28.1,73,0.38,4,0
24.2,79,0.04,4,0
24.7,79,0.03,4,0
29.6,68,0.14,4,0
28.1,73,0.38,4,0
27.3,74,0.38,4,0
26.3,77,0.19,4,0
27.1,74,0.09,4,0
27.7,74,0.19,4,0
30,69,0.26,4,0
30.8,69,0.21,4,0
31,67,0.24,4,0
29.9,68,0.14,4,0
27.2,74,0.19,4,0
25.4,77,0.12,4,0
25.4,77,0.15,4,0
26.2,77,0.03,4,0
28,73,0.08,4,0
28.8,73,0.03,4,0
33.1,62,0.1,4,0
32.5,57.9,0.48,4,0
31.3,52.6,0.03,4,0
31,53.4,0.11,4,0
31.1,51.8,0.11,4,0
31.1,53.2,0.08,4,0
31,55.1,0.55,4,0
32.3,61.8,0.04,4,0
32.9,61.8,0.58,4,0
32.7,62.3,0.04,4,0
30.7,65.2,0.03,4,0
30.7,61,0,4,0
31,66.5,1.17,4,0
31.4,67.3,0.01,4,0
32.8,60.1,0.06,4,0
32.5,57.7,0.03,4,0
28,68,0.2,4,0
29.3,61.4,0.12,4,0
30.3,60.1,0.58,4,0
30.4,63.1,0.04,4,0
30.5,62.3,0.06,4,0
30.6,61.5,0.05,4,0
30.7,61.7,0.05,4,0
30.8,62.1,0.05,4,0
30.8,59.7,0.03,4,0
31,61.5,0.37,4,0
30.9,61.4,0.02,4,0
30.9,63.5,0.5,4,0
26.8,61.2,0.07,4,0
27.5,61.4,0.15,4,0
29.8,56,0.05,4,0
29.5,57.9,0.15,4,0
28.1,53.2,0.15,4,0
28.4,58.3,0.14,4,0
29.8,51.8,0.08,4,0
29.1,60.1,0.1,4,0
28.2,53.2,0.2,4,0
28.6,57,0.07,4,0
28.1,59.2,0.22,4,0
27.9,61,0.2,4,0
26.6,63.6,0.14,4,0
26.6,64.8,0.32,4,0
28,55.1,0.55,4,0
28.3,54.3,0.67,4,0
28.4,56.5,0.67,4,0
28.5,56.3,0.62,4,0
28.7,56.2,0.71,4,0
28.6,56.5,0.71,4,0
29.1,57.4,0.41,4,0
29.1,56.5,0.5,4,0
29.9,42.7,0.14,4,0
29.8,43.7,0.17,4,0
29.4,45.8,0.14,4,0
29.6,50.3,0.14,4,0
29.4,50.8,0.15,4,0
29.3,50.3,0.17,4,0
28,58.8,0.15,4,0
28.8,57.4,0.22,4,0
28.9,56.4,0.2,4,0
29.2,54.5,0.06,4,0
30,51.8,0.18,4,0
30.3,47.3,0.2,4,0
31,42.7,0.2,4,0
31.1,41.1,0.22,4,0
31.1,41.1,0.08,4,0
31.2,42.7,0.11,4,0
31.3,46.9,0.27,4,0
31,42.7,0.07,4,0
31.1,51.9,0.17,4,0
31.2,52.2,0.17,4,0
31.7,54.2,0.22,4,0
30.8,57.4,0.12,4,0
31.1,66.3,0.24,4,0
33.1,54.6,0.76,4,0
31.2,61,0.35,4,0
31.7,62.3,0.62,4,0
31.3,65.6,0.29,4,0
31.3,65.6,0.11,4,0
31.2,67,1.17,4,0
33.3,40.6,0.98,4,0
31.1,54.2,0.62,4,0
31.1,55.7,0.18,4,0
31.1,54.3,0.15,4,0
30.7,62.6,0.25,4,0
32.5,56.6,0.58,4,0
29,65.2,0.5,4,0
28.7,68.5,0.29,4,0
31.7,54.9,0.35,4,0
31.7,54.3,0.35,4,0
30.6,44.3,0.55,4,0
29.8,47.4,0,4,0
29.8,47.5,0,4,0
29.5,49.3,0.14,4,0
28,54.6,0.41,4,0
28.9,54.6,0.14,4,0
29.6,53.9,1.04,4,0
29.4,54.2,0.2,4,0
29.5,54.6,0.41,4,0
29.7,56,0.55,4,0
29.7,59.2,1.46,4,0
28,58.3,0.41,4,0
28.6,53.2,0.29,4,0
28.5,52.7,0.48,4,0
